query,provider
"Write a quick regex to parse email addresses from this string.",openai
"Format this list of names into a valid JSON object.",openai
"Generate a Python script to scrape a website.",openai
"Convert this XML data into a JSON dictionary.",openai
"Write a fast SQL query to join these two tables.",openai
"Extract all the phone numbers from this text.",openai
"Debug this React component and tell me why it's not rendering.",openai
"Write a unit test for this JavaScript function.",openai
"Translate this English text into conversational Spanish.",openai
"Create a simple bash script to automate folder backups.",openai
"Refactor this Python code to make it more efficient.",openai
"Give me the CSS to center a div using Flexbox.",openai
"Extract the dates and amounts from this raw text string.",openai
"Write a short, punchy marketing email for a new product.",openai
"Format these raw timestamps into ISO 8601 standard.",openai
"Write a pandas script to merge two CSV files.",openai
"Generate dummy data for a user table in SQL.",openai
"Write a regular expression that matches valid URLs.",openai
"Convert this Markdown text into HTML.",openai
"Write a Go routine that handles concurrent API requests.",openai
"Review this 40-page technical spec and summarize the risks.",claude
"Analyze this comprehensive architecture document for flaws.",claude
"Read this long PDF report and extract the main arguments.",claude
"Evaluate the trade-offs in this 50-page microservice deployment guide.",claude
"Draft a detailed 10-page business proposal for the new project.",claude
"Summarize this massive context window of meeting transcripts.",claude
"Review this 100-page legal contract and find any loopholes.",claude
"Analyze the reasoning in this extensive academic paper.",claude
"Compare the arguments in these three lengthy policy documents.",claude
"Read this entire codebase repository and map the dependencies.",claude
"Evaluate the narrative structure of this 10,000-word manuscript.",claude
"Review this deep technical whitepaper and explain it to a beginner.",claude
"Summarize the historical context found in this 200-page book chapter.",claude
"Analyze this comprehensive financial report for Q3 and highlight risks.",claude
"Read this long thread of customer feedback and synthesize the core issues.",claude
"Review the attached architectural blueprints and suggest improvements.",claude
"Evaluate this comprehensive strategic plan for the next five years.",claude
"Analyze this long transcript from a 2-hour podcast.",claude
"Read the attached PDF manual and explain the installation process.",claude
"Summarize the compliance risks in this extensive regulatory framework.",claude
"Look at this screenshot and tell me what the error means.",gemini
"Analyze this bar chart and explain the outliers.",gemini
"Describe the UI layout in this image of our dashboard.",gemini
"Extract the text from this photograph of a receipt.",gemini
"What is happening in this video clip?",gemini
"Compare the two architectural diagrams in these images.",gemini
"Look at this photo of a circuit board and identify the components.",gemini
"Analyze this pie chart and summarize the demographic split.",gemini
"What breed of dog is in this picture?",gemini
"Extract the tabular data from this image of a spreadsheet.",gemini
"Look at this wireframe sketch and generate HTML for it.",gemini
"Analyze this infographic and summarize its main points.",gemini
"Describe the visual style and color palette of this painting.",gemini
"Look at this screenshot of my terminal and tell me what the error means.",gemini
"Extract the handwritten notes from this scanned image.",gemini
"Analyze this line graph showing our monthly revenue trends.",gemini
"What are the main differences between these two product photos?",gemini
"Look at this map image and calculate the distance between the markers.",gemini
"Describe the facial expressions of the people in this photograph.",gemini
"Analyze this medical x-ray image for anomalies.",gemini
"Route this request through the enterprise model gateway.",litellm
"Send this to the central proxy for load balancing.",litellm
"Process this using the internal corporate routing proxy.",litellm
"Use the unified LLM gateway to handle this API call.",litellm
"Fallback to the master router for this request.",litellm
"Log this transaction through the proxy server.",litellm
"Forward this prompt to the managed organizational proxy.",litellm
"Route this query via the internal cost-tracking gateway.",litellm
"Send this payload to the unified endpoint for model dispatch.",litellm
"Process this via the central load balancer to avoid rate limits.",litellm
"Use the enterprise gateway to apply content moderation filters.",litellm
"Route this to the default fallback proxy.",litellm
"Pass this through the unified LLM API wrapper.",litellm
"Send this request to the managed Kubernetes proxy endpoint.",litellm
"Route this through the centralized authentication gateway.",litellm
"Forward this to the rate-limited proxy server.",litellm
"Process this API call via the unified routing layer.",litellm
"Send this to the master proxy for audit logging.",litellm
"Route this request to the most cost-effective endpoint via the gateway.",litellm
"Pass this prompt through the internal security proxy.",litellm
